timestamp,style,episode,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,brush_x,brush_y,brush_z,brush_vx,brush_vy,brush_vz
0.000000,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.347688,0.040161,0.000000,0.000000,0.000000,0.000000
0.067039,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.346065,0.052339,0.000000,-0.001624,0.012177,0.000000
0.134078,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.344015,0.064451,0.000000,-0.002050,0.012113,0.000000
0.201117,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.341541,0.076484,0.000000,-0.002474,0.012033,0.000000
0.268156,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.338646,0.088424,0.000000,-0.002895,0.011939,0.000000
0.335196,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.335334,0.100254,0.000000,-0.003312,0.011830,0.000000
0.402235,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.331610,0.111960,0.000000,-0.003725,0.011707,0.000000
0.469274,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.327476,0.123529,0.000000,-0.004133,0.011569,0.000000
0.536313,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.322939,0.134945,0.000000,-0.004537,0.011416,0.000000
0.603352,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.318004,0.146196,0.000000,-0.004935,0.011250,0.000000
0.670391,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.312678,0.157266,0.000000,-0.005327,0.011070,0.000000
0.737430,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.306966,0.168142,0.000000,-0.005712,0.010876,0.000000
0.804469,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.300876,0.178811,0.000000,-0.006090,0.010669,0.000000
0.871508,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.294416,0.189260,0.000000,-0.006461,0.010449,0.000000
0.938547,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.287592,0.199476,0.000000,-0.006823,0.010216,0.000000
1.005587,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.280415,0.209446,0.000000,-0.007178,0.009970,0.000000
1.072626,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.272892,0.219158,0.000000,-0.007523,0.009712,0.000000
1.139665,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.265032,0.228600,0.000000,-0.007859,0.009442,0.000000
1.206704,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.256846,0.237760,0.000000,-0.008186,0.009160,0.000000
1.273743,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.248344,0.246628,0.000000,-0.008502,0.008867,0.000000
1.340782,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.239536,0.255191,0.000000,-0.008808,0.008564,0.000000
1.407821,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.230433,0.263440,0.000000,-0.009103,0.008249,0.000000
1.474860,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.221045,0.271365,0.000000,-0.009387,0.007925,0.000000
1.541899,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.211386,0.278955,0.000000,-0.009660,0.007590,0.000000
1.608939,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.201466,0.286202,0.000000,-0.009920,0.007247,0.000000
1.675978,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.191298,0.293096,0.000000,-0.010168,0.006894,0.000000
1.743017,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.180894,0.299629,0.000000,-0.010404,0.006533,0.000000
1.810056,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.170267,0.305793,0.000000,-0.010627,0.006164,0.000000
1.877095,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.159431,0.311580,0.000000,-0.010836,0.005787,0.000000
1.944134,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.148398,0.316983,0.000000,-0.011033,0.005403,0.000000
2.011173,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.137182,0.321996,0.000000,-0.011216,0.005013,0.000000
2.078212,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.125797,0.326611,0.000000,-0.011385,0.004616,0.000000
2.145251,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.114257,0.330825,0.000000,-0.011540,0.004214,0.000000
2.212291,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.102577,0.334631,0.000000,-0.011680,0.003806,0.000000
2.279330,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.090770,0.338025,0.000000,-0.011807,0.003394,0.000000
2.346369,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.078851,0.341002,0.000000,-0.011919,0.002977,0.000000
2.413408,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.066836,0.343559,0.000000,-0.012016,0.002557,0.000000
2.480447,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.054737,0.345693,0.000000,-0.012098,0.002134,0.000000
2.547486,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.042572,0.347401,0.000000,-0.012166,0.001708,0.000000
2.614525,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.030354,0.348681,0.000000,-0.012218,0.001280,0.000000
2.681564,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.018098,0.349532,0.000000,-0.012255,0.000850,0.000000
2.748603,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,0.005821,0.349952,0.000000,-0.012278,0.000420,0.000000
2.815642,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,-0.006464,0.349940,0.000000,-0.012285,-0.000011,0.000000
2.882682,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,-0.018741,0.349498,0.000000,-0.012277,-0.000442,0.000000
2.949721,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,-0.030995,0.348625,0.000000,-0.012254,-0.000873,0.000000
3.016760,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,-0.043211,0.347322,0.000000,-0.012216,-0.001303,0.000000
3.083799,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,-0.055373,0.345592,0.000000,-0.012162,-0.001730,0.000000
3.150838,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,-0.067468,0.343436,0.000000,-0.012094,-0.002156,0.000000
3.217877,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,-0.079479,0.340856,0.000000,-0.012011,-0.002579,0.000000
3.284916,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,-0.091392,0.337857,0.000000,-0.011913,-0.002999,0.000000
3.351955,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,-0.103192,0.334442,0.000000,-0.011801,-0.003415,0.000000
3.418994,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,-0.114866,0.330614,0.000000,-0.011673,-0.003827,0.000000
3.486034,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,-0.126398,0.326380,0.000000,-0.011532,-0.004235,0.000000
3.553073,Style A: Smooth Circular,5,0,0,0,0,0,0,0,0,-0.137774,0.321743,0.000000,-0.011376,-0.004637,0.000000
