timestamp,style,episode,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,brush_x,brush_y,brush_z,brush_vx,brush_vy,brush_vz,action_1,action_2,action_3,action_4
15.03999,SmoothCircle,1,0.524891,-1,-1,0.334797,-0.639967,-0.555452,-0.361044,-0.041628,0.21582,-0.772271,-8.273102,0,0,0,-0.687663,-0.49962,-0.324753,-0.091931
15.05999,SmoothCircle,1,0.51336,-1,-1,0.333275,-0.648613,-0.545332,-0.354466,-0.050746,0.14825,-0.769501,-8.270169,-0.506779,0.138521,0.021994,-0.695426,-0.488757,-0.317692,-0.100773
15.07999,SmoothCircle,1,0.501678,-1,-1,0.33148,-0.657099,-0.535076,-0.3478,-0.059815,0.076508,-0.766562,-8.266669,-0.538063,0.146914,0.02625,-0.703017,-0.477773,-0.310553,-0.109515
15.09999,SmoothCircle,1,0.489849,-1,-1,0.329415,-0.665422,-0.524689,-0.341048,-0.068824,0.000502,-0.763494,-8.262588,-0.570048,0.153417,0.030613,-0.710435,-0.466672,-0.303337,-0.11815
15.12,SmoothCircle,1,0.477874,-1,-1,0.327082,-0.673582,-0.514172,-0.334212,-0.077765,-0.079853,-0.760335,-8.257902,-0.602656,0.157954,0.035143,-0.717677,-0.455455,-0.296046,-0.126667
15.13999,SmoothCircle,1,0.465757,-1,-1,0.324484,-0.681575,-0.503529,-0.327294,-0.08663,-0.164626,-0.757126,-8.252591,-0.635798,0.160433,0.039828,-0.724743,-0.444126,-0.288682,-0.13506
15.16,SmoothCircle,1,0.453501,-1,-1,0.321621,-0.6894,-0.492761,-0.320295,-0.095409,-0.253878,-0.75391,-8.246633,-0.669395,0.160796,0.044692,-0.731629,-0.432688,-0.281247,-0.14332
15.17999,SmoothCircle,1,0.441109,-1,-1,0.318499,-0.697055,-0.481872,-0.313216,-0.104093,-0.347657,-0.750731,-8.24,-0.70334,0.158972,0.049746,-0.738335,-0.421143,-0.273743,-0.151438
15.2,SmoothCircle,1,0.428584,-1,-1,0.315118,-0.704538,-0.470863,-0.306061,-0.112676,-0.445992,-0.747633,-8.232666,-0.737511,0.154889,0.055003,-0.744859,-0.409493,-0.266171,-0.159407
15.21999,SmoothCircle,1,0.415929,-1,-1,0.311484,-0.711847,-0.459739,-0.29883,-0.121146,-0.548904,-0.744663,-8.224601,-0.77184,0.148499,0.060487,-0.751199,-0.397743,-0.258533,-0.167218
15.24,SmoothCircle,1,0.403147,-1,-1,0.307599,-0.71898,-0.448501,-0.291526,-0.129498,-0.656392,-0.741868,-8.215775,-0.806163,0.139755,0.066197,-0.757354,-0.385895,-0.250831,-0.174864
