timestamp,style,episode,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,brush_x,brush_y,brush_z,brush_vx,brush_vy,brush_vz
0.000000,Style B: Spiral Growth,1,0,0,0,0,0,0,0,0,0.054985,0.001265,0.000000,0.000000,0.000000,0.000000
0.054795,Style B: Spiral Growth,1,0,0,0,0,0,0,0,0,0.056506,0.004552,0.000000,0.001521,0.003287,0.000000
0.109589,Style B: Spiral Growth,1,0,0,0,0,0,0,0,0,0.057826,0.008017,0.000000,0.001319,0.003465,0.000000
0.164384,Style B: Spiral Growth,1,0,0,0,0,0,0,0,0,0.058928,0.011648,0.000000,0.001102,0.003631,0.000000
0.219178,Style B: Spiral Growth,1,0,0,0,0,0,0,0,0,0.059799,0.015430,0.000000,0.000871,0.003782,0.000000
0.273973,Style B: Spiral Growth,1,0,0,0,0,0,0,0,0,0.060425,0.019349,0.000000,0.000626,0.003919,0.000000
0.328767,Style B: Spiral Growth,1,0,0,0,0,0,0,0,0,0.060793,0.023390,0.000000,0.000368,0.004040,0.000000
0.383562,Style B: Spiral Growth,1,0,0,0,0,0,0,0,0,0.060891,0.027534,0.000000,0.000098,0.004144,0.000000
0.438356,Style B: Spiral Growth,1,0,0,0,0,0,0,0,0,0.060708,0.031763,0.000000,-0.000182,0.004230,0.000000
0.493151,Style B: Spiral Growth,1,0,0,0,0,0,0,0,0,0.060237,0.036061,0.000000,-0.000472,0.004297,0.000000
0.547945,Style B: Spiral Growth,1,0,0,0,0,0,0,0,0,0.059467,0.040405,0.000000,-0.000770,0.004345,0.000000
0.602740,Style B: Spiral Growth,1,0,0,0,0,0,0,0,0,0.058392,0.044777,0.000000,-0.001074,0.004372,0.000000
0.657534,Style B: Spiral Growth,1,0,0,0,0,0,0,0,0,0.057008,0.049156,0.000000,-0.001385,0.004378,0.000000
0.712329,Style B: Spiral Growth,1,0,0,0,0,0,0,0,0,0.055309,0.053519,0.000000,-0.001699,0.004363,0.000000
0.767123,Style B: Spiral Growth,1,0,0,0,0,0,0,0,0,0.053294,0.057845,0.000000,-0.002016,0.004326,0.000000
0.821918,Style B: Spiral Growth,1,0,0,0,0,0,0,0,0,0.050960,0.062113,0.000000,-0.002333,0.004267,0.000000
0.876712,Style B: Spiral Growth,1,0,0,0,0,0,0,0,0,0.048309,0.066298,0.000000,-0.002651,0.004186,0.000000
0.931507,Style B: Spiral Growth,1,0,0,0,0,0,0,0,0,0.045343,0.070380,0.000000,-0.002967,0.004082,0.000000
0.986301,Style B: Spiral Growth,1,0,0,0,0,0,0,0,0,0.042064,0.074335,0.000000,-0.003279,0.003955,0.000000
1.041096,Style B: Spiral Growth,1,0,0,0,0,0,0,0,0,0.038478,0.078141,0.000000,-0.003586,0.003806,0.000000
