timestamp,style,episode,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,brush_x,brush_y,brush_z,brush_vx,brush_vy,brush_vz,action_1,action_2,action_3,action_4
9.339996,SpiralGrowth,1,0.482489,-0.063488,0.628119,0.45392,0.047234,-0.424874,0.465834,-0.245486,3.856792,-0.013268,0.061366,0,0,0,-0.011031,-0.438861,0.467463,-0.275518
9.359997,SpiralGrowth,1,0.483141,-0.072036,0.636406,0.446392,0.036672,-0.42741,0.466129,-0.25093,3.848901,-0.019689,0.07523,-0.059187,-0.321043,0.10398,-0.022131,-0.439944,0.467352,-0.28047
9.379996,SpiralGrowth,1,0.483603,-0.080629,0.644697,0.438704,0.026013,-0.429682,0.466351,-0.256285,3.839077,-0.025966,0.089063,-0.073674,-0.313837,0.103748,-0.033293,-0.440744,0.467168,-0.285322
9.399997,SpiralGrowth,1,0.483874,-0.089263,0.65299,0.430857,0.015263,-0.431687,0.466499,-0.261548,3.82735,-0.032097,0.102926,-0.087956,-0.306583,0.103974,-0.044509,-0.441261,0.46691,-0.290073
9.419996,SpiralGrowth,1,0.483953,-0.097932,0.661284,0.422856,0.004428,-0.433422,0.466573,-0.266719,3.813749,-0.038083,0.116865,-0.10201,-0.299287,0.104541,-0.055772,-0.441491,0.466578,-0.294721
9.439997,SpiralGrowth,1,0.483838,-0.106629,0.669579,0.414702,-0.006485,-0.434885,0.466574,-0.271795,3.798306,-0.043922,0.130936,-0.115818,-0.291974,0.10553,-0.067074,-0.441433,0.466172,-0.299264
9.459996,SpiralGrowth,1,0.483527,-0.115351,0.677872,0.406399,-0.017468,-0.436072,0.466501,-0.276774,3.781054,-0.049616,0.145194,-0.129396,-0.284654,0.106937,-0.078409,-0.441085,0.465693,-0.303701
9.479997,SpiralGrowth,1,0.48302,-0.12409,0.686163,0.397949,-0.028514,-0.436981,0.466355,-0.281655,3.762021,-0.055163,0.159687,-0.142747,-0.277353,0.108701,-0.089768,-0.440445,0.46514,-0.30803
9.499996,SpiralGrowth,1,0.482316,-0.132843,0.69445,0.389356,-0.039618,-0.437609,0.466134,-0.286436,3.741239,-0.060564,0.174468,-0.15586,-0.270081,0.110853,-0.101145,-0.439512,0.464513,-0.312249
9.519997,SpiralGrowth,1,0.481413,-0.141602,0.702732,0.380623,-0.050771,-0.437954,0.465841,-0.291115,3.718744,-0.065821,0.189586,-0.168717,-0.262845,0.113386,-0.112531,-0.438284,0.463814,-0.316358
9.539996,SpiralGrowth,1,0.480312,-0.150362,0.711007,0.371752,-0.061966,-0.438014,0.465473,-0.295691,3.694565,-0.070935,0.205093,-0.181338,-0.255674,0.116307,-0.123919,-0.436761,0.463041,-0.320354
9.559997,SpiralGrowth,1,0.479011,-0.159118,0.719274,0.362747,-0.073196,-0.437786,0.465032,-0.300162,3.668738,-0.075906,0.221036,-0.193706,-0.248563,0.119567,-0.135301,-0.434941,0.462195,-0.324236
9.579997,SpiralGrowth,1,0.477509,-0.167863,0.727532,0.353611,-0.084454,-0.437271,0.464518,-0.304526,3.641294,-0.080737,0.237459,-0.205833,-0.241554,0.123179,-0.14667,-0.432824,0.461276,-0.328004
9.599997,SpiralGrowth,1,0.475807,-0.176592,0.73578,0.344348,-0.095732,-0.436465,0.46393,-0.308781,3.612267,-0.085429,0.254417,-0.217697,-0.234628,0.127179,-0.158018,-0.43041,0.460284,-0.331654
9.619997,SpiralGrowth,1,0.473905,-0.1853,0.744016,0.33496,-0.107022,-0.435367,0.463269,-0.312928,3.581692,-0.089986,0.271949,-0.229317,-0.227815,0.131494,-0.169336,-0.427698,0.45922,-0.335187
9.639997,SpiralGrowth,1,0.471801,-0.193979,0.752239,0.325451,-0.118318,-0.433977,0.462535,-0.316963,3.549598,-0.094409,0.290101,-0.240699,-0.221139,0.136143,-0.180618,-0.424687,0.458082,-0.338601
9.659997,SpiralGrowth,1,0.469497,-0.202625,0.760447,0.315825,-0.129611,-0.432293,0.461728,-0.320885,3.516025,-0.0987,0.308918,-0.2518,-0.214571,0.141126,-0.191855,-0.42138,0.456873,-0.341894
9.679996,SpiralGrowth,1,0.466992,-0.211231,0.76864,0.306084,-0.140894,-0.430315,0.460848,-0.324693,3.481002,-0.102863,0.328443,-0.262675,-0.208169,0.146437,-0.203039,-0.417774,0.455592,-0.345066
9.699997,SpiralGrowth,1,0.464287,-0.219792,0.776816,0.296232,-0.152159,-0.428042,0.459895,-0.328386,3.444565,-0.106902,0.348718,-0.273279,-0.201911,0.152064,-0.214163,-0.413872,0.454238,-0.348115
9.719996,SpiralGrowth,1,0.461382,-0.228302,0.784973,0.286273,-0.163398,-0.425473,0.45887,-0.331962,3.406744,-0.110818,0.369782,-0.283656,-0.195813,0.157976,-0.225219,-0.409674,0.452813,-0.351041
9.739997,SpiralGrowth,1,0.458278,-0.236754,0.793112,0.276211,-0.174604,-0.422609,0.457772,-0.335421,3.367573,-0.114616,0.391675,-0.29378,-0.189918,0.164199,-0.236198,-0.405181,0.451316,-0.353842
9.759996,SpiralGrowth,1,0.454976,-0.245143,0.801229,0.266048,-0.185769,-0.41945,0.456602,-0.33876,3.327087,-0.1183,0.414434,-0.303647,-0.184178,0.17069,-0.247093,-0.400394,0.449748,-0.356517
9.779997,SpiralGrowth,1,0.451476,-0.253463,0.809324,0.255789,-0.196886,-0.415996,0.455359,-0.341979,3.285317,-0.121873,0.438097,-0.313276,-0.178653,0.177473,-0.257897,-0.395314,0.448109,-0.359065
9.799996,SpiralGrowth,1,0.447779,-0.261708,0.817396,0.245436,-0.207945,-0.412247,0.454045,-0.345076,3.242296,-0.125339,0.462698,-0.322659,-0.17333,0.184512,-0.268601,-0.389943,0.446399,-0.361486
9.819997,SpiralGrowth,1,0.443886,-0.269872,0.825443,0.234995,-0.21894,-0.408204,0.452659,-0.348051,3.198055,-0.128703,0.488274,-0.331809,-0.168198,0.19182,-0.279197,-0.384284,0.444619,-0.363779
9.839996,SpiralGrowth,1,0.4398,-0.277949,0.833465,0.224468,-0.229863,-0.403868,0.451202,-0.350902,3.152628,-0.13197,0.514858,-0.340703,-0.163305,0.199378,-0.289678,-0.378337,0.442769,-0.365942
9.859997,SpiralGrowth,1,0.435521,-0.285934,0.841459,0.213859,-0.240705,-0.39924,0.449673,-0.353628,3.106043,-0.135142,0.54248,-0.349386,-0.158638,0.207168,-0.300035,-0.372106,0.440848,-0.367975
9.879996,SpiralGrowth,1,0.43105,-0.29382,0.849425,0.203172,-0.25146,-0.394321,0.448073,-0.356229,3.058334,-0.138226,0.571171,-0.357817,-0.154209,0.215179,-0.310262,-0.365592,0.438858,-0.369878
9.899997,SpiralGrowth,1,0.426391,-0.301602,0.857361,0.192411,-0.262119,-0.389114,0.446403,-0.358703,3.009531,-0.141227,0.60096,-0.366025,-0.150007,0.223422,-0.32035,-0.358799,0.436799,-0.371649
