timestamp,style,episode,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,brush_x,brush_y,brush_z,brush_vx,brush_vy,brush_vz,action_1,action_2,action_3,action_4
6.919998,OrganicFloral,1,0.448006,0.582753,-0.115042,0.177174,0.711848,0.376678,0.148118,-0.486588,-1.903943,-0.202431,0.033334,-0.06572,-0.103608,0,0.7512,0.266897,0.358818,-0.483626
6.939998,OrganicFloral,1,0.460788,0.589889,-0.11173,0.162592,0.718981,0.356778,0.186312,-0.486051,-1.954337,-0.214794,0.033334,-0.377955,-0.61816,0,0.757355,0.243962,0.390675,-0.472507
6.959998,OrganicFloral,1,0.473694,0.596615,-0.107759,0.148084,0.725937,0.336328,0.223356,-0.483596,-2.001639,-0.227201,0.033334,-0.354763,-0.62036,0,0.763323,0.220651,0.420123,-0.459523
6.979998,OrganicFloral,1,0.48672,0.602923,-0.103154,0.133707,0.732714,0.31536,0.259024,-0.479232,-2.047939,-0.240293,0.033334,-0.347251,-0.654596,0,0.769103,0.197,0.446981,-0.444726
6.999998,OrganicFloral,1,0.499863,0.608801,-0.097944,0.119518,0.73931,0.293905,0.293095,-0.472977,-2.089925,-0.253215,0.033334,-0.314892,-0.646121,0.000006,0.774693,0.173045,0.471082,-0.428173
7.019998,OrganicFloral,1,0.51312,0.614241,-0.09216,0.105572,0.745724,0.271996,0.325358,-0.464856,-2.127997,-0.266094,0.033334,-0.285542,-0.643957,-0.000006,0.780091,0.148823,0.49228,-0.409931
7.039998,OrganicFloral,1,0.526488,0.619234,-0.085837,0.091925,0.751954,0.249669,0.355616,-0.454899,-2.162694,-0.279183,0.033334,-0.260228,-0.654447,0,0.785297,0.124372,0.510442,-0.390071
7.059998,OrganicFloral,1,0.539964,0.623773,-0.079017,0.078631,0.757998,0.226956,0.383681,-0.443148,-2.193076,-0.292224,0.033334,-0.227864,-0.65203,0,0.79031,0.099728,0.525458,-0.368671
7.079998,OrganicFloral,1,0.553544,0.627851,-0.071739,0.065742,0.763855,0.203894,0.409381,-0.429648,-2.219084,-0.305285,0.033334,-0.195058,-0.653035,0,0.795127,0.074932,0.537234,-0.345817
7.099998,OrganicFloral,1,0.567224,0.631461,-0.064049,0.053308,0.769524,0.180517,0.432557,-0.414452,-2.239573,-0.317803,0.033334,-0.15367,-0.625936,0,0.799748,0.050019,0.545697,-0.321598
