style,trial,mean_trajectory_error,path_similarity,reproduction_accuracy,completion_success,demo_path_length,demo_direction_change,curvature_variance
Style A: Smooth Circular,1,0.01530,98.91,98.91,1,2.19900,2.011,0.0000000
Style A: Smooth Circular,2,0.01617,98.84,98.84,1,2.19900,2.011,0.0000000
Style A: Smooth Circular,3,0.01696,98.79,98.79,1,2.19900,2.011,0.0000000
Style A: Smooth Circular,4,0.01762,98.74,98.74,1,2.19900,2.011,0.0000000
Style A: Smooth Circular,5,0.01814,98.70,98.70,1,2.19900,2.011,0.0000000
Style B: Spiral Growth,1,0.03997,97.14,97.14,1,3.04511,3.397,0.0000001
Style B: Spiral Growth,2,0.04212,96.99,96.99,1,3.04511,3.397,0.0000001
Style B: Spiral Growth,3,0.04363,96.88,96.88,1,3.04511,3.397,0.0000001
Style B: Spiral Growth,4,0.04454,96.82,96.82,1,3.04511,3.397,0.0000001
Style B: Spiral Growth,5,0.04558,96.74,96.74,1,3.04511,3.397,0.0000001
Style C: Organic Floral,1,0.07817,94.42,94.42,1,3.33768,6.660,0.0000011
Style C: Organic Floral,2,0.08253,94.10,94.10,1,3.33767,6.659,0.0000011
Style C: Organic Floral,3,0.08619,93.84,93.84,0,3.33766,6.657,0.0000011
Style C: Organic Floral,4,0.08877,93.66,93.66,0,3.33765,6.654,0.0000011
Style C: Organic Floral,5,0.09065,93.53,93.53,0,3.33765,6.650,0.0000011
