timestamp,style,episode,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,brush_x,brush_y,brush_z,brush_vx,brush_vy,brush_vz
0.000000,Style B: Spiral Growth,3,0,0,0,0,0,0,0,0,0.081124,0.040292,0.000000,0.000000,0.000000,0.000000
0.054795,Style B: Spiral Growth,3,0,0,0,0,0,0,0,0,0.083371,0.043476,0.000000,0.002248,0.003184,0.000000
0.109589,Style B: Spiral Growth,3,0,0,0,0,0,0,0,0,0.085403,0.046811,0.000000,0.002031,0.003336,0.000000
0.164384,Style B: Spiral Growth,3,0,0,0,0,0,0,0,0,0.087203,0.050285,0.000000,0.001800,0.003474,0.000000
0.219178,Style B: Spiral Growth,3,0,0,0,0,0,0,0,0,0.088756,0.053882,0.000000,0.001554,0.003597,0.000000
0.273973,Style B: Spiral Growth,3,0,0,0,0,0,0,0,0,0.090050,0.057588,0.000000,0.001294,0.003705,0.000000
0.328767,Style B: Spiral Growth,3,0,0,0,0,0,0,0,0,0.091071,0.061384,0.000000,0.001021,0.003797,0.000000
0.383562,Style B: Spiral Growth,3,0,0,0,0,0,0,0,0,0.091809,0.065255,0.000000,0.000737,0.003871,0.000000
0.438356,Style B: Spiral Growth,3,0,0,0,0,0,0,0,0,0.092251,0.069181,0.000000,0.000443,0.003926,0.000000
0.493151,Style B: Spiral Growth,3,0,0,0,0,0,0,0,0,0.092390,0.073143,0.000000,0.000139,0.003962,0.000000
0.547945,Style B: Spiral Growth,3,0,0,0,0,0,0,0,0,0.092218,0.077121,0.000000,-0.000173,0.003979,0.000000
0.602740,Style B: Spiral Growth,3,0,0,0,0,0,0,0,0,0.091727,0.081096,0.000000,-0.000491,0.003974,0.000000
0.657534,Style B: Spiral Growth,3,0,0,0,0,0,0,0,0,0.090913,0.085045,0.000000,-0.000814,0.003949,0.000000
0.712329,Style B: Spiral Growth,3,0,0,0,0,0,0,0,0,0.089772,0.088947,0.000000,-0.001141,0.003902,0.000000
0.767123,Style B: Spiral Growth,3,0,0,0,0,0,0,0,0,0.088301,0.092780,0.000000,-0.001471,0.003833,0.000000
0.821918,Style B: Spiral Growth,3,0,0,0,0,0,0,0,0,0.086500,0.096522,0.000000,-0.001801,0.003742,0.000000
